pipeline,layer_avg_energy_J__AV,layer_avg_latency_ms__AV,layer_avg_power_W__AV,layer_avg_energy_J__Down-proj,layer_avg_latency_ms__Down-proj,layer_avg_power_W__Down-proj,layer_avg_energy_J__FFN-1,layer_avg_latency_ms__FFN-1,layer_avg_power_W__FFN-1,layer_avg_energy_J__K-proj,layer_avg_latency_ms__K-proj,layer_avg_power_W__K-proj,layer_avg_energy_J__Output-proj,layer_avg_latency_ms__Output-proj,layer_avg_power_W__Output-proj,layer_avg_energy_J__Q-proj,layer_avg_latency_ms__Q-proj,layer_avg_power_W__Q-proj,layer_avg_energy_J__QKT,layer_avg_latency_ms__QKT,layer_avg_power_W__QKT,layer_avg_energy_J__Softmax,layer_avg_latency_ms__Softmax,layer_avg_power_W__Softmax,layer_avg_energy_J__V-proj,layer_avg_latency_ms__V-proj,layer_avg_power_W__V-proj,pipeline_latency_ms,pipeline_energy_J
B1_P1024_M1024,0.05336799999999999,0.14447882080078125,369.356368028212,1.09656,2.723119140625,402.6688694076667,1.1077139999999999,2.881447998046875,384.41263734805625,0.276663,0.7380254516601562,374.84289550249633,0.23055799999999999,0.7308226318359375,315.43348693039314,0.27421300000000004,0.7349872436523438,373.0593591933641,0.0774498,0.19669320068359375,393.728465729537,0.1003844,0.2589550537109375,387.6321185951184,0.311329,0.7341967163085937,424.00457887700526,9.142726257324219,3.5282392
B1_P2048_M2048,0.199959,0.504031005859375,396.7091296593668,2.30857,5.78445947265625,399.08962445748523,2.162118,5.51417431640625,392.0924749329251,0.55657,1.4626201171875,380.51391606364115,0.6226119999999999,1.4578934326171875,427.03212120201164,0.589342,1.4621224365234375,403.0529694588997,0.32508539999999997,0.8270123046875,393.07682630782614,0.4296004,1.16985693359375,367.2196208524398,0.5525220000000001,1.4645504150390625,377.2493433720489,19.646720434570312,7.7463788000000005
B1_P256_M256,0.0,0.013172940063476562,0.0,0.240702,0.7608545532226563,316.31328712331435,0.29165199999999997,0.75635302734375,385.54689682980387,0.076,0.19152076721191405,396.7215639865708,0.065504,0.18579866027832032,352.3549227946104,0.063598,0.19145114135742186,332.1022275169064,0.0052412,0.015403622436523438,340.014004331755,0.0,0.014097817993164062,0.0,0.071502,0.19112037658691405,374.0117225903426,2.3197729064941406,0.8141992
B1_P512_M512,0.0132894,0.04277657470703125,310.5912049620201,0.545704,1.46608740234375,372.1874504558329,0.549594,1.438138427734375,382.12452251445495,0.151522,0.36742041015625,412.33524217445944,0.153648,0.36294451904296876,423.2177392809039,0.152601,0.36921856689453125,413.2508767298773,0.0208006,0.053722930908203126,387.10810422315177,0.028082799999999998,0.06634229736328125,423.2364139913864,0.15096700000000002,0.36784536743164065,410.3464739885532,4.534496496582031,1.7662088
B2_P1024_M1024,0.10985039999999999,0.2829221923828125,388.2527977943548,2.327676,5.811310546875,400.53038650901277,2.22743,5.535533203125,402.3764747722069,0.5673619999999999,1.47097705078125,385.6884764179784,0.5589700000000001,1.4572564697265624,383.5497863253889,0.5922970000000001,1.4710179443359375,402.6279399753508,0.15605519999999998,0.3907416015625,399.36909228032016,0.2060366,0.509775048828125,404.1595153257844,0.594977,1.4741361083984375,403.5936619958,18.403670166015626,7.3406541999999995
B2_P2048_M2048,0.3911426,0.99050869140625,394.8833190192528,4.56217,11.4759765625,397.53441064695926,4.390798,10.974056640625,400.10023001921434,1.198434,3.083756591796875,388.6171641637465,1.271652,3.076974609375,413.2575276179373,1.231974,3.078478759765625,400.1781000335896,0.6592778,1.658762890625,397.4463298432856,0.907017,2.325927734375,389.95576577330485,1.233129,3.07888427734375,400.5007600047269,39.7433267578125,15.8455944
B2_P256_M256,0.0046672,0.0237559814453125,196.38285932470913,0.562508,1.4766878662109375,380.89761424864685,0.5554600000000001,1.460953125,380.17183274058596,0.126073,0.37000909423828127,340.68073606362964,0.160798,0.3683921813964844,436.3549288931095,0.149553,0.37349169921875,400.35203395245776,0.005169,0.02796318664550781,184.77883935467827,0.013541999999999998,0.03798814697265625,356.38555757116626,0.15809299999999998,0.37298681640625,423.8026627804838,4.512228097534179,1.7358632
B2_P512_M512,0.0297202,0.07866367797851563,377.76372598803334,1.1077860000000002,2.7469638671875,403.25966235852917,1.194926,2.917539794921875,409.54823554347945,0.281711,0.7425740966796875,379.34488172685195,0.245884,0.7368417358398438,333.6539270048569,0.28271199999999996,0.743499755859375,380.21424113319483,0.0455224,0.1053106201171875,432.2204283318562,0.0454618,0.125264697265625,362.8920995662307,0.28630500000000003,0.742846435546875,385.3858441196588,8.939504681396485,3.5200284
B4_P1024_M1024,0.21395619999999999,0.539662548828125,396.44918461777235,4.553562,11.4626337890625,397.24636176105207,4.327176000000001,10.9694462890625,394.4692327516194,1.203022,3.076209716796875,391.0627894838168,1.1973420000000001,3.07658349609375,389.161313812651,1.233068,3.083748291015625,399.8489589485741,0.3102378,0.7755380859375,400.02107449328867,0.400425,1.00818125,397.16861295371154,1.2323520000000001,3.0806826171875,400.01563017120543,37.07268608398437,14.671141
B4_P2048_M2048,0.7936496,1.9906541015625,398.68392277502966,9.033745999999999,22.690626953125,398.12315273445824,8.773232,22.09069140625,397.14242593845313,2.562343,6.42408154296875,398.8596347503229,2.554732,6.45964404296875,395.481720586904,2.55921,6.41619580078125,398.8613779034317,1.3139496,3.3111125,396.8274495425463,1.825863,4.653227734375,392.3841427636129,2.561044,6.4249580078125,398.60284517132567,80.46119208984375,31.977769199999997
B4_P256_M256,0.0203986,0.05491445922851562,371.3912728622142,1.097736,2.750443603515625,399.093657161523,1.180874,2.919159912109375,404.50580569172035,0.272706,0.7476725463867188,364.71244264274657,0.247674,0.7387545776367187,335.2126448999244,0.27379000000000003,0.7465584716796875,366.7060835190826,0.0216198,0.05993656616210938,360.65207071341894,0.0292282,0.07088927001953126,412.2413564606666,0.274084,0.7457699584960937,367.4848812842767,8.834099365234374,3.4181106
B4_P512_M512,0.056956799999999995,0.14728724365234375,386.6744545572163,2.2509580000000002,5.81730517578125,386.93095804543384,2.16513,5.53947119140625,390.842172900287,0.593839,1.4779658203125,401.7731494601191,0.575532,1.45961572265625,394.27361628521925,0.558549,1.4748262939453125,378.7002427619707,0.080068,0.2017806396484375,396.7838611485256,0.0937644,0.2432108642578125,385.50443019762236,0.592173,1.4757540283203125,401.24865710757814,17.837216979980468,6.9669702000000004
B8_P1024_M1024,0.41696859999999997,1.0631166015625,392.2066527461082,8.972026,22.664634765625,395.8564706493993,8.820656000000001,22.061142578125,399.8234825569889,2.5588580000000003,6.44490673828125,397.0298139876374,2.567862,6.449703125,398.125194560184,2.5577910000000004,6.4491220703125,396.60532667836287,0.6150144000000001,1.5453689453125,397.96766222257736,0.799967,2.015478125,396.9077098627663,2.595345,6.45441552734375,402.09808076093805,75.1478884765625,29.904488
B8_P2048_M2048,1.5864904,3.9792765625,398.6855836617448,18.239376,45.92290625,397.17158586241493,17.816626,44.63536328125,399.1570793734849,4.556591,11.43689453125,398.4078648420245,4.584604000000001,11.49659765625,398.7722649949565,4.566459,11.434337890625,399.35966227137897,2.6346491999999997,6.6235453125,397.76843665144503,3.625313,9.2978265625,389.90823189028055,4.530411,11.4541533203125,395.5219053305331,156.28090136718748,62.1405196
B8_P256_M256,0.0398928,0.09940930786132812,401.2525620221877,2.312308,5.8141103515625,397.69671768232433,2.244574,5.54113232421875,405.065019098955,0.559655,1.4738995361328124,379.6943439193016,0.556038,1.4602445068359375,380.75559945446105,0.5900700000000001,1.4749593505859375,400.03723050595454,0.046242200000000004,0.1150140380859375,402.007863500856,0.0536592,0.13590814208984375,394.7882785331971,0.5934400000000001,1.4756187744140625,402.1470914028279,17.59029633178711,6.9958792
B8_P512_M512,0.1105038,0.282675,390.9052836001317,4.55292,11.4607509765625,397.25597478017846,4.322833999999999,10.9694111328125,394.0749727700977,1.235519,3.087321044921875,400.1821395087384,1.19503,3.076716552734375,388.394564614154,1.2099760000000002,3.08723193359375,391.9201160706689,0.1521252,0.3939850341796875,386.1060447465878,0.19085719999999998,0.478575,398.7919941479877,1.233793,3.086939208984375,399.671948388224,35.92360588378906,14.2035582
