pipeline,layer_avg_energy_J__AV,layer_avg_latency_ms__AV,layer_avg_power_W__AV,layer_avg_energy_J__Down-proj,layer_avg_latency_ms__Down-proj,layer_avg_power_W__Down-proj,layer_avg_energy_J__Gate-proj,layer_avg_latency_ms__Gate-proj,layer_avg_power_W__Gate-proj,layer_avg_energy_J__K-proj,layer_avg_latency_ms__K-proj,layer_avg_power_W__K-proj,layer_avg_energy_J__O-proj,layer_avg_latency_ms__O-proj,layer_avg_power_W__O-proj,layer_avg_energy_J__Q-proj,layer_avg_latency_ms__Q-proj,layer_avg_power_W__Q-proj,layer_avg_energy_J__QKT,layer_avg_latency_ms__QKT,layer_avg_power_W__QKT,layer_avg_energy_J__Softmax,layer_avg_latency_ms__Softmax,layer_avg_power_W__Softmax,layer_avg_energy_J__Up-proj,layer_avg_latency_ms__Up-proj,layer_avg_power_W__Up-proj,layer_avg_energy_J__V-proj,layer_avg_latency_ms__V-proj,layer_avg_power_W__V-proj,pipeline_latency_ms,pipeline_energy_J,p2p_transfer_energy_J,pipeline_energy_with_p2p_J
llama3.1_8b_prefill_b16_s1024,0.44861752,0.81119375,553.0288000509582,3.8855706249999997,6.47521435546875,600.0622614523013,4.04354675,6.747037109375,599.3012339597832,0.2940051,0.488942138671875,601.3010921181498,1.0325147000000001,1.7202705078125,600.1992794094227,1.0292907,1.7115525390625,601.372257142781,0.49828839999999996,0.843506484375,590.728525754766,0.6496953,1.464945,443.4906733917765,4.041884875,6.734423828125,600.1767824187749,0.2939828,0.489025537109375,601.1538005582515,27.48611125,16.21739677,5.690832,21.908228
llama3.1_8b_prefill_b16_s2048,1.72352826,3.0597640625,563.2828839952714,7.739557125,12.9013818359375,599.8958030833402,7.229705,12.04876953125,600.0311823688127,0.5849494,0.97506123046875,599.9039724602593,2.07363615,3.455815625,600.0364822778761,2.06388165,3.440708203125,599.8361905131615,2.01098388,3.3577003125,598.9117404880507,2.66944626,6.41915125,415.85322965169195,7.214595999999999,12.0135419921875,600.5328730385037,0.58499115,0.97511015625,599.9161871228608,58.64700419921875,33.895274875,18.253611,52.148886
llama3.1_8b_prefill_b16_s4096,7.10129978,11.83699375,599.9189244118527,14.19690025,23.6690390625,599.8034791442395,14.361392250000002,23.9415078125,599.8479591104892,1.1549092,1.925928515625,599.657597711419,4.4792124499999995,7.46506875,600.0175398616534,4.46976595,7.450490625,599.9236008115657,8.00679744,13.4178,596.7244645091947,14.042297360000001,28.9625125,484.8397637818886,14.361465875,23.932986328125,600.0646546771284,1.1548977999999999,1.9259103515625,599.6571107882457,144.5282376953125,83.32893835499999,63.995013,147.323951
llama3.1_8b_prefill_b16_s512,0.1368784,0.2271903515625,602.4761110757515,1.807511125,3.014660888671875,599.5675279441325,1.687497375,2.809666259765625,600.5980124997776,0.1408819,0.2378030517578125,592.4228058739897,0.4828978,0.80755634765625,597.9670508774965,0.48599245,0.80875009765625,600.9111857331287,0.1293868,0.23238302734375,556.7752472470015,0.16537854,0.3669145703125,450.7230728211124,1.6875105000000001,2.809510009765625,600.6357248332744,0.14102974999999998,0.237696435546875,593.3110203469273,11.552131040039063,6.86496464,1.986422,8.851387
llama3.1_8b_prefill_b1_s1024,0.02109366,0.03564371826171875,591.7787909209712,0.25479,0.4269585266113281,596.742680491601,0.26258925,0.43273062133789064,606.8063945644558,0.018109800000000002,0.032562814331054686,556.1150255200562,0.0693573,0.11885145263671874,583.550542357739,0.06914445,0.1187605224609375,582.2056797474792,0.02629154,0.04417732421875,595.1245203890837,0.027623580000000002,0.047241533203125,584.7156686076474,0.26256525,0.43304644775390627,606.3103886490964,0.02104245,0.03259627380371094,645.5179562968948,1.7225692346191406,1.0326072800000001,0.355677,1.388284
llama3.1_8b_prefill_b1_s2048,0.10645742,0.195794375,543.7136709166493,0.495077,0.8324791870117187,594.6946794487749,0.502566,0.8337528076171875,602.7661363996887,0.038049650000000004,0.0677727294921875,561.4170970317999,0.1263546,0.2064199951171875,612.1150008175107,0.1260531,0.207003125,608.9329779739892,0.12507848,0.20971033203125,596.4260708394626,0.1661668,0.40335765625,411.9540596694768,0.49495625,0.8342806396484375,593.2653114693102,0.041123349999999996,0.0677218505859375,607.2261677854068,3.8582926977539063,2.22188265,1.140851,3.362733
llama3.1_8b_prefill_b1_s4096,0.44399974000000003,0.73896765625,600.8315637008228,0.98993825,1.6513057861328124,599.481730967772,0.990338375,1.6524505615234375,599.3081365862448,0.06298885,0.10493096923828125,600.2772134893385,0.2759699,0.461567822265625,597.8893106559286,0.27904965000000004,0.461114892578125,605.1546903843495,0.50352062,0.839045625,600.1047494254613,0.868966,1.812531875,479.41657431191874,0.990205875,1.65115771484375,599.6969235004872,0.06301205,0.1049148193359375,600.5909870459889,9.477987722167969,5.46798931,3.999688,9.467678
llama3.1_8b_prefill_b1_s512,0.00776648,0.014680791015625,529.0002973909267,0.135018375,0.22009506225585937,613.4408914127225,0.127632875,0.21166792297363282,602.9635384761633,0.01453075,0.02120287628173828,685.2547233927653,0.0363178,0.059682537841796876,608.4880399254644,0.03404265,0.05941416625976562,572.9247459396851,0.00861382,0.013906536865234374,619.3706476816401,0.00478984,0.008717890014648438,549.3740487571013,0.12761187499999999,0.21160134887695312,603.060056074585,0.01153865,0.02120032958984375,544.2007616995083,0.8421694619750977,0.507863115,0.124151,0.632015
llama3.1_8b_prefill_b4_s1024,0.12375324,0.2058182421875,601.2678543372214,0.981763125,1.6400299072265625,598.6185169986601,0.990046375,1.6410830078125,603.2815173603038,0.06297915,0.10456409912109375,602.2910032568417,0.27293905,0.457176416015625,597.0033301234989,0.27598735,0.45782060546875,602.8214888836461,0.12381682000000001,0.21214591796875,583.6330595286138,0.16372252,0.369120859375,443.5422576685246,0.983481875,1.6399989013671874,599.6771018972494,0.06296950000000001,0.10454483642578125,602.3099502656427,6.8323027929687505,4.041459005,1.422708,5.464167
llama3.1_8b_prefill_b4_s2048,0.4262571,0.765420078125,556.8873692499403,1.81481975,3.020593994140625,600.8088271664162,1.68747925,2.816993408203125,599.0292870400638,0.14384075,0.2377378173828125,605.031369019224,0.4865672,0.810449365234375,600.3611071522524,0.48596639999999997,0.807978076171875,601.4533199998955,0.49735506,0.838810703125,592.9228133253215,0.6619025,1.6352884375,404.7585532121995,1.68750425,2.816438720703125,599.1563747366303,0.1409626,0.2376352783203125,593.1809777873563,13.98734587890625,8.03265486,4.563403,12.596058
llama3.1_8b_prefill_b4_s4096,1.7712629199999999,2.9517053125,600.0755790880092,3.89231225,6.475373046875,601.0886298500178,4.034797999999999,6.72953076171875,599.5598762501583,0.2939828,0.489246923828125,600.880146332045,1.02890355,1.715590625,599.7305264822346,1.0295590000000001,1.7118439453125,601.4266905028876,2.00465182,3.3554190625,597.431664857338,3.49417582,7.23017375,483.2727797070937,4.0348065,6.72107275390625,600.3157331920272,0.29404545,0.489258837890625,600.9949712764222,37.86921501953125,21.87849811,15.998753,37.877251
llama3.1_8b_prefill_b4_s512,0.0192024,0.0310665283203125,618.0921405205919,0.4950145,0.8295489501953125,596.719977213385,0.502652125,0.832366943359375,603.8754643603919,0.03773505,0.06771759643554688,557.2279501393788,0.12296510000000001,0.206699072265625,594.8893178595473,0.1259329,0.207080712890625,608.1249989560255,0.0266366,0.044399931640625,599.9136423650751,0.02760928,0.04586015625,602.0214717620738,0.502573125,0.8329441528320313,603.3620752430166,0.04104475,0.06772230224609375,606.0599438347182,3.165406346435547,1.90136583,0.496606,2.397971
llama3.1_8b_prefill_b8_s1024,0.22099808,0.408772734375,540.632227430639,1.807495625,3.01539697265625,599.415593988281,1.68745075,2.814826904296875,599.480045587378,0.14032065,0.237339453125,591.2156042417942,0.4835358,0.808234521484375,598.2553857676745,0.485993,0.807826123046875,601.5998299785216,0.24683534,0.422628203125,584.0421078653394,0.32382617999999996,0.73334484375,441.5700909943155,1.68732775,2.814446044921875,599.517860631122,0.1439983,0.23760537109375,606.0304187149002,12.300421171875,7.2277814750000005,2.845416,10.073197
llama3.1_8b_prefill_b8_s2048,0.86448016,1.527928125,565.7807221175993,3.88491975,6.47600244140625,599.88849278614,4.049692,6.7462041015625,600.2857211515533,0.29406574999999996,0.4890458984375,601.2986816415859,1.0355097,1.7216517578125,601.4566981904773,1.0293923,1.711565625,601.4272061409121,1.0005612799999999,1.67823765625,596.1923521530427,1.3270457199999999,3.2092565625,413.5022650466737,4.03486125,6.730390625,599.4926809949139,0.2909726,0.4891181640625,594.8857879719184,30.77940095703125,17.811500510000002,9.126806,26.938306
llama3.1_8b_prefill_b8_s4096,3.55306558,5.92179,599.9931062284434,7.739437625,12.9041103515625,599.7597275285879,7.199569749999999,11.9992783203125,599.9944026819253,0.5850748499999999,0.9749501953125,600.1008971928629,2.0700145,3.45103359375,599.8184599659611,2.0610437000000004,3.437933203125,599.4949342871056,4.01563418,6.7132425,598.1609748110236,7.02657312,14.466605,485.70579425125106,7.199750375,11.99923046875,600.0119055521885,0.5849899000000001,0.97515595703125,599.8869055683891,72.84332958984375,42.03515358,31.997506,74.032660
llama3.1_8b_prefill_b8_s512,0.06853421999999999,0.114877705078125,596.5752873333162,0.982366,1.641222900390625,598.5499977414868,0.982432375,1.64116748046875,598.6117101507416,0.06301464999999999,0.10450615234375,602.9645533887092,0.27597395,0.45703046875,603.8348688970518,0.27298295,0.45803212890625,595.9835367250992,0.06532268,0.11700283203125,558.292230770553,0.08226520000000001,0.18383330078125,447.493930600364,0.98287875,1.6410386962890624,598.9302655866595,0.0630708,0.10450838623046875,603.4894609067471,6.463220051269531,3.838841575,0.993211,4.832053
